Date,Type,number,change,growth,log_RR,country
2020-03-16,hospitalized,62,,,,Denmark
2020-03-17,hospitalized,82,20,0.3225806451612903,0.12142216288546279,Denmark
2020-03-18,hospitalized,129,47,0.573170731707317,0.1967758579155323,Denmark
2020-03-19,hospitalized,153,24,0.18604651162790697,0.0741017205183498,Denmark
2020-03-20,hospitalized,186,33,0.21568627450980393,0.08482151340031756,Denmark
2020-03-21,hospitalized,206,20,0.10752688172043011,0.04435427615123705,Denmark
2020-03-22,hospitalized,232,26,0.1262135922330097,0.05162076452174625,Denmark
2020-03-23,hospitalized,254,22,0.09482758620689655,0.039345731729038394,Denmark
2020-03-24,hospitalized,301,47,0.18503937007874016,0.07373277897390534,Denmark
2020-03-25,hospitalized,350,49,0.16279069767441862,0.0655015487564323,Denmark
2020-03-26,hospitalized,386,36,0.10285714285714286,0.04251926032147928,Denmark
2020-03-27,hospitalized,430,44,0.11398963730569948,0.046881150907831556,Denmark
2020-03-28,hospitalized,459,29,0.06744186046511629,0.028344229957674744,Denmark
2020-03-29,hospitalized,499,40,0.08714596949891068,0.0362878600861287,Denmark
2020-03-30,hospitalized,533,34,0.06813627254509018,0.02862666340318238,Denmark
2020-03-31,hospitalized,529,-4,-0.0075046904315197,-0.0032715369913865013,Denmark
2020-04-01,hospitalized,535,6,0.011342155009451797,0.004898109986042735,Denmark
2020-04-02,hospitalized,525,-10,-0.018691588785046728,-0.00819447861527157,Denmark
2020-04-03,hospitalized,517,-8,-0.015238095238095238,-0.0066687603120143876,Denmark
2020-04-04,hospitalized,507,-10,-0.019342359767891684,-0.008482583760606524,Denmark
2020-03-16,intensive,10,,,,Denmark
2020-03-17,intensive,18,8,0.8,0.25527250510330607,Denmark
2020-03-18,intensive,24,6,0.3333333333333333,0.12493873660829992,Denmark
2020-03-19,intensive,30,6,0.25,0.09691001300805642,Denmark
2020-03-20,intensive,37,7,0.23333333333333334,0.09108046934733258,Denmark
2020-03-21,intensive,42,5,0.13513513513513514,0.05504756633090544,Denmark
